EXP,n,Participant_ID,Age,Gender,Kno_Level,Per_Level,Bilingual ,Bi_Parents,Multi_Kno,Multi_Spk,Immersion,Prof_Need,Prof_Use,Motivation,Agent,Distractor,GN_Score,Difficulty
1,1,EXP1_01,25,0,6,7,0,1,0,1,0,1,1,4,1,4,23,3
1,2,EXP1_02,38,0,6,7,0,0,1,1,0,0,0,2,1,6,27,8
1,3,EXP1_03,27,1,4,5,0,1,1,1,0,1,1,6,1,4,28,7
1,4,EXP1_04,53,0,7,9,0,0,1,1,0,1,1,5,1,5,39,1
1,5,EXP1_05,53,1,7,8,0,0,1,1,1,1,1,4,1,6,35,1
1,6,EXP1_06,54,0,7,7,0,0,1,0,1,1,1,3,1,6,36,8
1,7,EXP1_07,50,0,8,8,0,0,1,1,0,1,1,6,1,5,34,8
1,8,EXP1_08,54,1,6,6,0,1,0,0,1,1,0,4,1,6,24,6
1,9,EXP1_09,47,1,8,8,1,1,1,1,1,1,1,5,1,6,32,2
1,10,EXP1_10,49,1,9,8,0,1,1,1,1,1,1,4,1,6,32,8
1,11,EXP1_11,49,0,8,7,0,0,0,0,0,1,0,6,1,6,28,8
1,12,EXP1_12,45,0,1,6,0,0,1,1,0,1,1,6,1,6,30,7
1,13,EXP1_13,44,1,6,6,0,1,1,1,1,1,1,4,1,6,26,7
1,14,EXP1_14,43,1,8,7,0,0,0,0,1,1,0,4,0,6,35,9
1,15,EXP1_15,37,1,6,7,0,0,1,0,1,1,1,3,0,6,26,7
1,16,EXP1_16,23,0,7,6,0,0,1,0,1,1,1,5,0,6,24,8
1,17,EXP1_17,44,0,7,7,0,0,1,1,0,1,0,5,0,5,23,8
1,18,EXP1_18,43,0,5,7,0,0,0,0,0,1,1,6,0,4,22,6
1,19,EXP1_19,29,0,7,7,0,1,1,1,0,0,1,5,0,6,21,9
1,20,EXP1_20,23,1,8,8,0,1,1,1,1,1,1,4,0,6,32,4
1,21,EXP1_21,36,1,8,7,0,1,1,1,0,0,0,6,0,5,36,8
1,22,EXP1_22,28,1,6,5,0,0,1,1,0,1,0,6,0,4,29,9
1,23,EXP1_23,44,0,4,5,0,0,0,0,0,1,0,5,0,5,22,6
1,24,EXP1_24,54,1,8,7,0,0,1,1,0,1,1,3,0,6,29,9
1,25,EXP1_25,51,1,7,6,0,0,0,0,0,1,1,5,0,5,27,9
1,26,EXP1_26,40,1,4,5,0,0,0,0,0,1,1,5,0,5,33,8
1,27,EXP1_27,56,1,6,7,0,0,1,0,0,1,1,3,0,6,24,7
1,28,EXP1_28,44,1,6,5,0,0,1,0,0,0,0,5,0,5,26,6
1,29,EXP1_29,51,0,6,6,0,0,1,0,0,1,1,6,0,5,25,8
1,30,EXP1_30,51,0,8,7,0,0,1,1,0,1,1,6,0,5,28,7
1,31,EXP1_31,33,0,6,8,0,0,0,0,0,1,1,6,0,6,33,8
1,32,EXP1_32,59,0,8,7,0,0,1,0,1,1,1,4,0,6,33,7
2,1,EXP2_01,41,0,7,7,0,0,1,1,0,1,1,6,1,5,24,4
2,2,EXP2_02,52,1,8,8,0,0,1,1,0,1,0,6,1,5,30,8
2,3,EXP2_03,48,1,8,6,0,0,1,0,0,0,0,4,1,4,22,9
2,4,EXP2_04,27,1,8,7,0,0,1,0,1,1,1,5,1,6,24,7
2,5,EXP2_05,31,0,7,7,0,1,0,0,0,1,0,3,1,6,30,7
2,6,EXP2_06,39,1,8,7,0,1,1,1,0,1,1,6,1,5,29,6
2,7,EXP2_07,51,0,9,7,0,0,0,0,0,0,0,1,1,5,36,8
2,8,EXP2_08,57,1,8,7,0,0,1,1,0,0,0,4,1,6,27,6
2,9,EXP2_09,35,1,6,6,0,1,0,0,0,0,1,4,1,5,26,2
2,10,EXP2_10,52,1,8,7,0,0,1,0,1,1,0,6,1,5,28,8
2,11,EXP2_11,45,1,7,5,0,0,0,1,1,1,0,6,0,6,33,3
2,12,EXP2_12,45,0,8,7,0,0,0,1,1,1,1,3,0,6,31,6
2,13,EXP2_13,45,1,7,7,0,0,0,1,1,1,1,6,0,6,21,6
2,14,EXP2_14,45,1,7,7,0,0,0,0,1,1,1,5,0,6,30,8
2,15,EXP2_15,45,1,7,7,0,0,1,1,1,1,0,6,0,5,24,7
2,16,EXP2_16,45,1,7,7,0,0,1,1,1,1,0,5,0,5,21,5
2,17,EXP2_17,48,0,8,8,0,0,1,1,1,1,1,3,0,6,26,6
2,18,EXP2_18,48,0,4,6,0,0,1,1,0,1,1,5,0,6,27,7
2,19,EXP2_19,44,0,8,8,0,1,1,1,0,1,1,6,0,5,34,3
2,20,EXP2_20,34,0,6,6,0,1,1,0,1,1,1,5,0,6,29,7
2,21,EXP2_21,49,1,6,6,0,0,0,0,0,1,1,5,0,6,36,7
2,22,EXP2_22,61,1,7,7,0,0,1,1,0,1,0,5,0,5,27,7
2,23,EXP2_23,35,0,6,5,0,1,1,1,0,1,0,3,0,4,25,9
2,24,EXP2_24,50,1,9,8,0,0,1,1,1,1,1,5,0,5,26,4